Colony,Nest,Day,ScaledX,ScaledY,Bin,CoordID,Density
19,Circle,5,3.634341637,1.120996441,3,53,Low
19,Circle,6,3.190103401,1.061580882,3,20,Low
19,Circle,6,3.880974265,1.432290901,5,22,Low
19,Circle,6,3.588389246,2.202819393,8,33,Low
19,Circle,6,3.326440717,2.069547335,7,34,Low
19,Circle,7,3.831818182,2.15,8,24,Low
19,Circle,7,3.595454545,1.040909091,3,47,Low
19,Circle,7,4.297727273,1.727272727,6,50,Low
19,Circle,7,4.265909091,1.415909091,5,51,Low
19,Circle,7,3.904545455,0.870454545,2,55,Low
19,Circle,8,4.275993119,1.909786697,7,27,Low
19,Circle,8,3.287461009,1.303516055,4,51,Low
19,Circle,8,3.78440367,1.956422018,7,53,Low
19,Circle,8,3.91131422,1.260704128,4,56,Low
19,Circle,8,3.510704128,1.301988532,4,60,Low
19,Circle,10,3.120318352,1.917134831,7,16,Low
19,Circle,10,4.36329588,1.811797753,6,27,Low
19,Circle,10,3.387172285,1.342071629,4,48,Low
19,Circle,10,3.636860955,1.952247191,7,52,Low
19,Circle,10,3.94428839,2.077090356,7,53,Low
19,Circle,11,3.780344139,2.109975577,7,28,Low
19,Circle,11,4.476021314,1.904234014,7,33,Low
19,Circle,11,3.320752664,1.341769538,4,54,Low
19,Circle,11,3.986827265,1.297364565,4,57,Low
19,Circle,11,4.227353464,1.114564831,3,60,Low
19,Circle,13,3.250478011,1.943116635,7,20,Low
19,Circle,13,3.594646272,1.976577438,7,24,Low
19,Circle,13,3.291108987,1.479445507,5,57,Low
19,Circle,13,4.059911568,1.346398184,4,59,Low
19,Circle,13,4.07584369,1.174314054,4,60,Low
19,Circle,14,3.120155039,1.151484981,4,14,Low
19,Circle,14,3.333333333,1.451872578,5,17,Low
19,Circle,14,4.845767926,1.602066376,6,32,Low
19,Circle,14,4.635821221,1.542313469,5,33,Low
19,Circle,14,3.849321705,1.279069767,4,60,Low
19,Tube,3,3.465099037,1.48099634,1,7,Low
19,Tube,3,1.83897694,1.738079926,3,11,Low
19,Tube,3,1.623358449,1.880442034,3,12,Low
19,Tube,3,4.201796931,3.069799852,5,16,Low
19,Tube,3,4.158948976,3.277125325,5,17,Low
19,Tube,4,3.342294721,1.479308407,2,17,Low
19,Tube,4,2.895894428,1.505376344,2,20,Low
19,Tube,4,2.267025904,1.481752199,2,22,Low
19,Tube,4,1.452426686,3.00342131,4,38,Low
19,Tube,4,5.251710655,3.172043011,6,58,Low
19,Tube,5,2.771929825,3.287280702,4,50,Low
19,Tube,5,2.682017544,3.174342105,4,51,Low
19,Tube,5,3.150219298,3.191885965,5,52,Low
19,Tube,5,4.813596491,3.248537281,6,65,Low
19,Tube,6,1.794217687,1.538407738,3,24,Low
19,Tube,6,1.689343112,1.776502976,3,28,Low
19,Tube,6,1.56462585,2.00042517,3,29,Low
19,Tube,6,2.580782313,3.301445578,4,40,Low
19,Tube,6,3.635204082,3.232355442,5,47,Low
19,Tube,9,3.603050595,1.54327939,1,17,Low
19,Tube,9,2.685392485,1.548238467,2,23,Low
19,Tube,9,2.407613467,1.580481771,2,24,Low
19,Tube,9,2.305928199,3.064856771,4,44,Low
19,Tube,9,4.515128348,3.060515253,5,60,Low
19,Tube,10,1.704182657,1.632226937,3,28,Low
19,Tube,10,1.554119926,1.922509225,3,29,Low
19,Tube,10,1.588560886,2.485239852,3,30,Low
19,Tube,10,1.613160517,2.197416974,3,31,Low
19,Tube,10,1.637761993,3.138376384,4,37,Low
19,Tube,12,2.980913174,1.635479042,2,18,Low
19,Tube,12,2.711452096,1.556886228,2,20,Low
19,Tube,12,1.693488024,2.362150075,3,34,Low
19,Tube,12,2.309754865,3.327718937,4,42,Low
19,Tube,12,2.377120135,3.158059506,4,43,Low
19,Tube,12,5.160928144,3.364520958,6,63,Low
19,Tube,13,1.562027231,1.781391831,3,26,Low
19,Tube,13,1.486384266,2.723146747,3,34,Low
19,Tube,13,2.237140696,3.34720121,4,42,Low
19,Tube,13,3.003655446,3.3213559,4,48,Low
19,Tube,13,3.245712935,3.202849849,5,50,Low
19,Tube,14,2.445558649,1.629547142,2,23,Low
19,Tube,14,2.206755754,1.423533779,2,28,Low
19,Tube,14,1.533036377,1.970428731,3,31,Low
19,Tube,14,1.79844098,3.170007424,4,41,Low
19,Tube,14,3.228160728,3.163201559,5,49,Low
20,Circle,5,4.156322731,1.602017067,5,29,Low
20,Circle,6,4.154990782,1.599681047,5,37,Low
20,Circle,7,4.382309942,2.023026316,6,34,Low
20,Circle,9,3.96606,2.192727273,7,33,Low
20,Circle,10,4.148455162,1.966842502,6,37,Low
20,Circle,11,4.06470355,2.072003399,6,61,Low
20,Circle,12,4.073588831,2.097700525,7,54,Low
20,Circle,13,3.955580029,2.200807636,7,52,Low
20,Circle,15,3.330278592,2.237903226,7,22,Low
20,Tube,1,2.995555556,1.931111111,2,19,Low
20,Tube,3,1.641203704,1.753472222,3,20,Low
20,Tube,5,1.794842007,1.748373606,2,29,Low
20,Tube,8,1.089552239,2.501865672,3,39,Low
20,Tube,12,1.174765845,2.730997392,3,32,Low
20,Tube,13,3.935509907,3.763598485,5,52,Low
20,Tube,14,2.701325883,1.718705363,2,16,Low
11,Circle,3,4.072394851,2.186970631,6,48,Low
14,Tube,13,7.11651339,2.815949612,7,136,Low
17,Circle,7,3.944761905,2.636190476,7,86,Low
18,Circle,7,3.911474164,1.550784574,7,40,Low
18,Circle,14,4.452264172,1.459084302,5,40,Low
18,Tube,9,2.187,1.224,3,22,Low
18,Tube,12,4.271929825,1.682017544,6,26,Low
18,Tube,14,3.963733796,1.768518519,5,24,Low
19,Tube,8,2.247,1.706,2,NA,Low
20,Circle,14,3.110250737,1.366150442,3,NA,Low
