"Colony","Nest","Day","ScaledX","ScaledY","Bin","CoordID","ColorID","Head","Sex","SexNumber","TotalNumber"
12,"Tube",8,6.059353869,1.897069872,7,93,"A,M,23,29","A","M",23,29
12,"Tube",8,5.929752066,1.769346356,7,94,"A,M,24,30","A","M",24,30
12,"Tube",8,6.006761833,1.681066867,7,95,"A,M,25,31","A","M",25,31
12,"Tube",8,6.068745304,1.669797145,7,96,"A,M,26,32","A","M",26,32
12,"Tube",8,6.188955672,1.718632607,7,97,"A,M,27,33","A","M",27,33
12,"Tube",8,6.337340346,1.536438768,7,99,"A,M,28,34","A","M",28,34
12,"Tube",8,5.546581518,1.474455297,8,102,"A,F,5,35","A","F",5,35
12,"Tube",8,4.83095417,1.489481593,8,103,"A,M,29,35","A","M",29,35
12,"Tube",8,4.370773854,1.645379414,8,106,"A,M,30,36","A","M",30,36
12,"Tube",9,3.333333333,1.695906433,1,19,"A,M,1,1","A","M",1,1
12,"Tube",9,3.14875731,1.763523392,2,22,"A,M,2,2","A","M",2,2
12,"Tube",9,2.775950292,1.449195906,2,25,"A,M,3,3","A","M",3,3
12,"Tube",9,2.543859649,1.631335892,2,28,"A,M,4,4","A","M",4,4
12,"Tube",9,2.135721857,1.705652412,2,30,"A,M,5,5","A","M",5,5
12,"Tube",9,2.009014985,1.502192982,2,32,"A,M,5,5","A","M",5,5
12,"Tube",9,1.614278143,1.660575658,3,36,"A,M,6,6","A","M",6,6
12,"Tube",9,1.775096857,1.689815424,3,37,"A,M,7,7","A","M",7,7
12,"Tube",9,1.49122807,1.987085161,3,39,"A,M,8,8","A","M",8,8
12,"Tube",9,1.695906433,2.411061769,3,41,"A,M,9,9","A","M",9,9
12,"Tube",9,1.733675073,2.670564693,3,45,"A,M,10,10","A","M",10,10
12,"Tube",9,3.076876827,3.15911367,5,58,"A,F,1,11","A","F",1,11
12,"Tube",9,3.149976243,3.402777778,5,59,"A,F,2,12","A","F",2,12
12,"Tube",9,4.449318348,3.435672515,5,66,"A,M,11,13","A","M",11,13
12,"Tube",9,4.356725146,3.205409357,5,67,"A,M,12,14","A","M",12,14
12,"Tube",9,5.404482822,3.333333333,6,73,"A,F,3,15","A","F",3,15
12,"Tube",9,5.910696272,3.206017909,6,78,"A,M,13,16","A","M",13,16
12,"Tube",9,6.013035453,3.098806652,6,79,"A,M,14,17","A","M",14,17
12,"Tube",9,6.065423977,2.72721674,7,84,"A,M,15,18","A","M",15,18
12,"Tube",9,5.958210892,2.057139985,7,86,"A,F,4,19","A","F",4,19
12,"Tube",9,6.215277778,1.923123173,7,87,"A,M,15,20","A","M",15,20
12,"Tube",9,6.077607822,1.627070541,7,88,"A,M,16,21","A","M",16,21
12,"Tube",9,5.970394737,1.628289474,7,90,"A,M,17,22","A","M",17,22
12,"Tube",9,5.810794956,1.508894371,7,91,"A,M,18,23","A","M",18,23
12,"Tube",9,5.907041301,1.507675439,7,92,"A,M,19,24","A","M",19,24
12,"Tube",9,5.280824196,1.650219298,8,96,"A,M,20,25","A","M",20,25
12,"Tube",9,5.107821637,1.630725512,8,97,"A,M,21,26","A","M",21,26
12,"Tube",9,5.081017909,1.736719664,8,98,"A,M,22,27","A","M",22,27
12,"Tube",9,5.145590278,1.46747076,8,100,"A,M,23,28","A","M",23,28
12,"Tube",9,4.574195906,1.617324561,8,101,"A,M,24,29","A","M",24,29
12,"Tube",9,4.464546784,1.67093019,8,103,"A,M,25,30","A","M",25,30
12,"Tube",10,3.653774637,0.974339903,1,7,"A,M,1,1","A","M",1,1
12,"Tube",10,2.674475642,1.746621421,2,13,"A,M,2,2","A","M",2,2
12,"Tube",10,2.756290443,1.5681164,2,15,"A,M,3,3","A","M",3,3
12,"Tube",10,2.637287096,1.47886389,2,16,"A,M,4,4","A","M",4,4
12,"Tube",10,2.386885459,1.671625139,2,21,"A,M,5,5","A","M",5,5
12,"Tube",10,2.317465601,1.524111194,2,22,"A,M,6,6","A","M",6,6
12,"Tube",10,1.962936036,1.520392339,2,25,"A,M,7,7","A","M",7,7
12,"Tube",10,1.646833395,1.59600781,3,27,"A,M,8,8","A","M",8,8
12,"Tube",10,1.504276683,1.956117516,3,31,"A,M,9,9","A","M",9,9
12,"Tube",10,1.729267386,2.114168836,3,33,"A,M,10,10","A","M",10,10
12,"Tube",10,1.413164745,2.984380811,4,39,"A,M,11,11","A","M",11,11
12,"Tube",10,1.57493492,2.861658609,3,40,"A,M,12,12","A","M",12,12
12,"Tube",10,1.736705095,2.876534028,3,41,"A,F,1,13","A","F",1,13
12,"Tube",10,2.639146523,3.160407215,4,54,"A,M,13,14","A","M",13,14
12,"Tube",10,2.820132019,3.237262923,4,56,"A,M,14,15","A","M",14,15
12,"Tube",10,2.941613983,3.373620305,4,57,"A,F,2,16","A","F",2,16
12,"Tube",10,3.068055039,3.326515433,5,58,"A,M,15,17","A","M",15,17
12,"Tube",10,3.231684641,3.23912235,5,59,"A,M,16,18","A","M",16,18
12,"Tube",10,3.393454816,3.213090368,5,60,"A,M,17,19","A","M",17,19
12,"Tube",10,3.774637412,3.402751952,5,63,"A,M,18,20","A","M",18,20
12,"Tube",10,4.303333953,3.206271848,5,67,"A,M,19,21","A","M",19,21
12,"Tube",10,3.901697657,3.407089996,5,68,"A,M,20,22","A","M",20,22
12,"Tube",10,4.660343994,3.362463741,6,71,"A,F,3,23","A","F",3,23
12,"Tube",10,4.849386389,3.188917813,6,81,"A,M,21,24","A","M",21,24
12,"Tube",10,6.105740052,2.458782075,7,88,"A,M,22,25","A","M",22,25
12,"Tube",10,6.161522871,2.213337672,7,90,"A,M,23,26","A","M",23,26
12,"Tube",10,6.05243585,2.13896058,7,91,"A,M,24,27","A","M",24,27
12,"Tube",10,5.840461138,1.775753068,7,94,"A,M,25,28","A","M",25,28
12,"Tube",10,5.973099665,1.56129974,7,95,"A,M,26,29","A","M",26,29
12,"Tube",10,5.742530681,1.453452956,7,98,"A,M,27,30","A","M",27,30
12,"Tube",11,3.021776813,1.613797205,2,11,"A,M,1,1","A","M",1,1
12,"Tube",11,2.697003399,1.590507931,2,17,"A,M,2,2","A","M",2,2
12,"Tube",11,2.455311556,1.679884819,2,19,"A,M,3,3","A","M",3,3
12,"Tube",11,2.076410498,1.518126888,2,21,"A,M,4,4","A","M",4,4
